R25,47.02,107.71,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R26,93.17,59.71,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R27,83.09,63.71,0.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,33.83,22.71,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.76,15.52,0.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,68.95,13.52,0.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,31.70,22.82,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,70.98,10.52,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,20.52,38.52,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_SPEC,155.77,39.34,0.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
SJ1,68.61,10.93,0.00,,SJ
TP1,10.06,73.20,0.00,TPTP20R,TP20R
TP10,33.85,8.58,0.00,TPTP20R,TP20R
TP11,17.14,73.20,0.00,TPTP20R,TP20R
TP12,54.50,15.58,0.00,TPTP20R,TP20R
TP18,115.15,44.58,0.00,TPTP20R,TP20R
TP19,14.80,25.58,0.00,TPTP20R,TP20R
TP2,150.98,30.20,0.00,TPTP20R,TP20R
TP20,10.45,36.58,0.00,TPTP20R,TP20R
TP21,86.10,17.94,0.00,TPTP20R,TP20R
TP22,13.49,75.20,0.00,TPTP20R,TP20R
TP3,135.90,43.20,0.00,TPTP20R,TP20R
TP4,65.82,81.20,0.00,TPTP20R,TP20R
TP5,150.74,19.20,0.00,TPTP20R,TP20R
TP6,63.66,27.20,0.00,TPTP20R,TP20R
TP7,47.58,31.20,0.00,TPTP20R,TP20R
TP8,45.50,22.20,0.00,TPTP20R,TP20R
TP9,30.42,48.20,0.00,TPTP20R,TP20R
TRANSIST,66.88,18.79,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
U$1,65.42,107.91,180.00,BUTTON_CUSYOMV1,MYBUTTON
U$2,50.07,108.07,180.00,BUTTON_CUSYOMV1,MYBUTTON
U$3,24.72,107.07,180.00,BUTTON_CUSYOMV1,MYBUTTON
U1,15.70,50.80,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,130.39,46.50,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U3,156.25,19.49,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
U4,138.88,47.50,0.00,MAX17048G+T10,SON50P200X200X80-9N
U6,38.14,49.61,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U7,84.09,57.10,90.00,DS3231SN#,SOIC127P1032X265-16N
